Week Ending,Provider State,Newcases
05/09/21,KY,11.0
05/09/21,LA,9.0
05/09/21,MA,120.0
05/09/21,MD,20.0
05/09/21,ME,11.0
05/09/21,MI,139.0
05/09/21,MN,55.0
05/09/21,MO,33.0
05/09/21,MS,2.0
05/09/21,MT,8.0
05/09/21,NC,64.0
05/09/21,ND,6.0
05/09/21,NE,13.0
05/09/21,NH,5.0
05/09/21,NJ,92.0
05/09/21,NM,6.0
05/09/21,NV,7.0
05/09/21,NY,158.0
05/09/21,OH,88.0
05/09/21,OK,20.0
05/09/21,OR,16.0
05/09/21,PA,180.0
05/09/21,PR,0.0
05/09/21,RI,19.0
05/09/21,SC,16.0
05/09/21,SD,10.0
05/09/21,TN,27.0
05/09/21,TX,111.0
05/09/21,UT,13.0
05/09/21,VA,28.0
05/09/21,VT,1.0
05/09/21,WA,27.0
05/09/21,WI,11.0
05/09/21,WV,3.0
05/09/21,WY,1.0
05/16/21,AK,2.0
05/16/21,AL,20.0
05/16/21,AR,12.0
05/16/21,AZ,20.0
05/16/21,CA,268.0
05/16/21,CO,22.0
05/16/21,CT,73.0
05/16/21,DC,0.0
05/16/21,DE,5.0
05/16/21,FL,121.0
05/16/21,GA,20.0
05/16/21,GU,0.0
05/16/21,HI,0.0
05/16/21,IA,21.0
05/16/21,ID,0.0
05/16/21,IL,119.0
05/16/21,IN,22.0
05/16/21,KS,33.0
05/16/21,KY,9.0
05/16/21,LA,6.0
05/16/21,MA,89.0
05/16/21,MD,42.0
05/16/21,ME,10.0
05/16/21,MI,130.0
05/16/21,MN,33.0
05/16/21,MO,25.0
05/16/21,MS,4.0
05/16/21,MT,10.0
05/16/21,NC,87.0
05/16/21,ND,2.0
05/16/21,NE,6.0
05/16/21,NH,3.0
05/16/21,NJ,84.0
05/16/21,NM,5.0
05/16/21,NV,21.0
05/16/21,NY,129.0
05/16/21,OH,98.0
05/16/21,OK,17.0
05/16/21,OR,23.0
05/16/21,PA,142.0
05/16/21,PR,0.0
05/16/21,RI,4.0
05/16/21,SC,4.0
05/16/21,SD,0.0
05/16/21,TN,16.0
05/16/21,TX,80.0
05/16/21,UT,16.0
05/16/21,VA,31.0
05/16/21,VT,1.0
05/16/21,WA,27.0
05/16/21,WI,23.0
05/16/21,WV,2.0
05/16/21,WY,4.0
05/23/21,AK,4.0
05/23/21,AL,15.0
